2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T04:30:33, 2026-05-04T04:31:55, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 5000, 5000, 5000, 1, 0.012, 50000, 33.6254, 1486.973, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T04:31:55, 2026-05-04T04:33:16, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 5000, 5000, 5000, 1, 0.012, 50000, 33.4371, 1495.345, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T04:33:17, 2026-05-04T04:34:38, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 5000, 5000, 5000, 1, 0.012, 50000, 33.208, 1505.661, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T04:34:38, 2026-05-04T04:35:59, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 5000, 5000, 5000, 1, 0.012, 50000, 33.2133, 1505.419, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T04:35:59, 2026-05-04T04:37:20, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 5000, 5000, 5000, 1, 0.012, 50000, 33.2323, 1504.561, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T04:44:16, 2026-05-04T04:45:38, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 500, 500, 500, 1, 0.012, 50000, 34.0636, 1467.842, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T04:45:38, 2026-05-04T04:46:59, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 500, 500, 500, 1, 0.012, 50000, 33.7172, 1482.922, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T04:47:00, 2026-05-04T04:48:22, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 500, 500, 500, 1, 0.012, 50000, 34.0261, 1469.459, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T04:48:22, 2026-05-04T04:49:43, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 500, 500, 500, 1, 0.012, 50000, 33.7405, 1481.898, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T04:49:44, 2026-05-04T04:51:05, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 500, 500, 500, 1, 0.012, 50000, 33.8417, 1477.468, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T04:58:09, 2026-05-04T04:59:35, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 50, 50, 50, 1, 0.012, 50000, 38.4194, 1301.425, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T04:59:35, 2026-05-04T05:01:01, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 50, 50, 50, 1, 0.012, 50000, 37.7539, 1324.367, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T05:01:01, 2026-05-04T05:02:27, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 50, 50, 50, 1, 0.012, 50000, 37.7772, 1323.551, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T05:02:27, 2026-05-04T05:03:52, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 50, 50, 50, 1, 0.012, 50000, 37.5721, 1330.774, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T05:03:52, 2026-05-04T05:05:19, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 50, 50, 50, 1, 0.012, 50000, 38.0403, 1314.394, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T05:12:59, 2026-05-04T05:14:48, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8, 1, 0.012, 50000, 61.2725, 816.027, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T05:14:49, 2026-05-04T05:16:35, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8, 1, 0.012, 50000, 58.9087, 848.771, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T05:16:36, 2026-05-04T05:18:24, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8, 1, 0.012, 50000, 60.281, 829.448, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T05:18:24, 2026-05-04T05:20:10, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8, 1, 0.012, 50000, 57.739, 865.966, N/A
2026-05-03T22:17:19, 2026-05-04T04:23:18, 2026-05-04T05:20:10, 2026-05-04T05:21:56, sol, 1, sg009, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, streaming-3, performance, prod, 1, sg009, 1, a100, 0, 8, N/A, 1, 8, 500, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8, 1, 0.012, 50000, 57.7394, 865.960, N/A
