2026-04-23T13:38:43, 2026-04-26T06:52:20, 2026-04-26T06:52:33, 2026-04-26T08:42:51, sol, 1, sg034, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg034, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 6610.817383, 13.0806, 0.000301868
2026-04-23T13:38:43, 2026-04-26T06:52:20, 2026-04-26T08:42:51, 2026-04-26T10:30:04, sol, 1, sg034, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg034, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 6427.795898, 13.4499, 0.000269395
2026-04-23T13:38:43, 2026-04-26T06:52:20, 2026-04-26T10:30:04, 2026-04-26T12:21:34, sol, 1, sg034, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg034, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 6684.297852, 12.9314, 0.000458309
2026-04-23T13:38:43, 2026-04-26T06:52:20, 2026-04-26T12:21:35, 2026-04-26T14:09:02, sol, 1, sg034, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg034, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 6441.386719, 13.4204, 0.000281316
2026-04-23T13:38:43, 2026-04-26T06:52:20, 2026-04-26T14:09:02, 2026-04-26T16:09:05, sol, 1, sg034, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg034, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 7196.957031, 12.013, 0.000474672
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T13:08:46, 2026-03-28T13:36:28, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 1657.485718, 52.2209, 6.41588e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T13:36:29, 2026-03-28T14:05:11, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 1718.703491, 50.3467, 6.88511e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T14:05:12, 2026-03-28T14:32:03, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 1608.645264, 53.8381, 6.45206e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T14:32:04, 2026-03-28T14:59:11, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 1624.068970, 53.3605, 6.6911e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T14:59:12, 2026-03-28T15:27:29, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 1694.613647, 51.1097, 5.3748e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T08:20:06, 2026-03-28T08:30:18, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 50, 50, 50, 50, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 609.379456, 142.419, 2.67408e-05
